path,label,block_res_var_mean,block_res_var_std,chi_square_parity,even_odd_imbalance,gray_mean,gray_std,lsb_ratio,neighbor_absdiff_mean,neighbor_absdiff_std,res_kurtosis,res_mean,res_std
cover/--Tn3E5ZtfQ.png,0,286.7066040039,270.4051513672,2056.1281127930,0.1022644043,148.4167633057,83.8853302002,0.5511322021,13.0131340027,29.5102787018,6.2576772050,-0.0000000335,17.0722408295
stego/--Tn3E5ZtfQ_stego.png,1,101.9943389893,151.0132598877,9121.8963673910,0.1076990763,148.4275970459,84.8063430786,0.5538495382,6.9225559235,19.9625816345,12.0129202313,-0.0000000134,10.2161540985
cover/-4YbaM07U44.png,0,108.7123489380,179.9601898193,5.8232625326,0.0054423014,104.8098220825,56.6537170410,0.5027211507,9.4426164627,14.0849742889,9.7123237162,0.0000000013,10.4729099274
stego/-4YbaM07U44_stego.png,1,83.1972351074,158.0689544678,7.2390187581,0.0030339559,104.8163757324,57.5759124756,0.5015169779,7.5269756317,12.8501853943,12.7239379862,0.0000000034,9.1628389359
cover/-87JyMb9ZfU.png,0,59.3977127075,108.5008392334,0.1953938802,0.0009969076,187.7691955566,39.8897666931,0.5004984538,5.0624895096,11.7972078323,16.8326988107,-0.0000000086,7.7322349548
stego/-87JyMb9ZfU_stego.png,1,54.8679466248,119.5021743774,4.3707733154,-0.0023574829,187.7660827637,40.7128486633,0.4988212585,4.4604301453,11.2681207657,23.0745808321,0.0000000083,7.4330997467
cover/-aAucsS1f24.png,0,27.2635917664,109.0523071289,1450.6253255208,0.0858968099,236.9436035156,25.1749839783,0.5429484049,1.9348008633,8.9649877548,52.9737105590,0.0000000371,5.2411713600
stego/-aAucsS1f24_stego.png,1,13.0409803391,57.5379753113,7040.0879720052,0.0946146647,236.9445495605,25.5512847900,0.5473073324,1.4121555090,6.5851287842,69.2928210759,0.0000000396,3.6280410290
cover/-cKXtsJWU-I.png,0,65.2357559204,126.9880752563,4.4560546875,-0.0047607422,18.5153789520,16.2452087402,0.4976196289,4.4575157166,11.5993318558,25.0951004349,0.0000000031,8.0885858536
stego/-cKXtsJWU-I_stego.png,1,92.5457382202,237.3720397949,12.4096883138,-0.0039723714,18.5216369629,19.2370433807,0.4980138143,4.2503504753,14.2641925812,37.4890286027,-0.0000000031,9.6363325119
cover/-h5qBDn_8Tw.png,0,21.5170822144,118.0589599609,2.5495605469,0.0036010742,105.7862243652,74.8979187012,0.5018005371,2.0879964828,7.2853784561,101.9027347780,-0.0000000054,4.6596789360
stego/-h5qBDn_8Tw_stego.png,1,14.1674814224,96.2570343018,27.5180867513,0.0059153239,105.7866592407,75.0266571045,0.5029576619,1.6083266735,6.0446467400,191.3643246187,-0.0000000007,3.7878127098
cover/-K3kpN0FCKo.png,0,39.2515335083,79.8996887207,11.6895345052,0.0077107747,182.8435058594,48.5689468384,0.5038553874,5.0915012360,10.0166969299,20.1196605423,0.0000000033,6.3001837730
stego/-K3kpN0FCKo_stego.png,1,20.0544319153,51.7328681946,22.8165893555,0.0053863525,182.8484344482,48.8553962708,0.5026931763,3.6529433727,7.4738755226,29.8246367708,0.0000000009,4.5055351257
cover/-N235jQ01v4.png,0,21.1245002747,51.7852630615,2.0833333333,0.0032552083,55.2056427002,63.6232185364,0.5016276042,3.7666351795,8.0563144684,37.6414520623,0.0000000044,4.6298570633
stego/-N235jQ01v4_stego.png,1,10.2112255096,30.7746181488,3.0549367269,0.0019709269,55.2111625671,63.7349433899,0.5009854635,2.3773655891,5.7495875359,87.6597686254,0.0000000033,3.2158260345
cover/-N_UwPdUs7E.png,0,39.2535552979,69.8607177734,3077.5024617513,0.1251118978,129.3885955811,82.5548019409,0.5625559489,5.5067305565,9.0725297928,24.4383460181,0.0000000197,6.2944045067
stego/-N_UwPdUs7E_stego.png,1,24.4501190186,54.6170005798,3923.8007863363,0.0706354777,129.3630676270,82.7107543945,0.5353177389,3.9598207474,7.5706744194,40.3397417714,0.0000000001,4.9701547623
cover/-Q1p5Gzn45c.png,0,34.1028785706,53.4445724487,159.9612630208,0.0285237630,183.3418579102,61.4878196716,0.5142618815,4.7622203827,7.7965345383,12.5754368875,0.0000000288,5.8533334732
stego/-Q1p5Gzn45c_stego.png,1,41.5990409851,68.2120666504,816.2344563802,0.0322163900,183.3491516113,61.8773765564,0.5161081950,5.0259180069,8.5703372955,12.5336839852,0.0000000161,6.4659099579
cover/-u-utDdi6m0.png,0,8.1879377365,24.8219509125,1310.8872273763,0.0816548665,42.1089935303,19.0216503143,0.5408274333,1.3359880447,4.5124254227,84.1492048489,0.0000000109,2.8690309525
stego/-u-utDdi6m0_stego.png,1,7.4079723358,30.5390357971,9639.9751027425,0.1107152303,42.1182060242,19.2400264740,0.5553576152,1.1107300520,4.2924652100,246.5180696821,-0.0000000016,2.7295012474
cover/-UCR39SnjCg.png,0,2.8218050003,8.9756069183,11.3831380208,0.0076090495,86.2363052368,60.0423545837,0.5038045247,2.2453846931,3.5044209957,52.8823672670,-0.0000000065,1.7038398981
